ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,Country,Currency,CompTotal,CompFreq,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,ICorPM,WorkExp,ConvertedCompYearly
165,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29,15,"Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.);System administrator",2 to 9 employees,I have a great deal of influence,United States of America,USD	United States dollar,136000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,White;Hispanic or Latino/a,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Independent contributor,15,136000
193,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,3,"Engineer, data;Developer, back-end",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,110000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,3,110000
194,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,1,"Developer, back-end",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,70000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",18-24 years old,Man,No,Gay or Lesbian,White;North American,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Independent contributor,1,70000
205,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,4,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",500 to 999 employees,I have little or no influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Independent contributor,3,100000
206,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Bootstrapping a business,"Associate degree (A.A., A.S., etc.)",15,10,"Developer, full-stack;Developer, back-end;Developer, QA or test","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,120000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,Prefer not to say,Independent contributor,10,120000
211,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,9,"Developer, front-end",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not at all",35-44 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Independent contributor,11,100000
215,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,5,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Scientist","5,000 to 9,999 employees",I have some influence,United States of America,USD	United States dollar,75000,Yearly,Stack Overflow,A few times per week,No,NA,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,1,75000
223,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,14,"Developer, back-end;Security professional",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,147000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Independent contributor,14,147000
224,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,2,"Developer, full-stack;Engineering manager",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,172000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Straight / Heterosexual,NA,None of the above,None of the above,People manager,2,172000
226,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,14,"Developer, full-stack",20 to 99 employees,I have little or no influence,United States of America,USD	United States dollar,101000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not at all",35-44 years old,Woman,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,14,101000
229,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Associate degree (A.A., A.S., etc.)",9,9,"Developer, full-stack;Developer, desktop or enterprise applications;Engineering manager;Database administrator;DevOps specialist","1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,120000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,Prefer not to say,People manager,17,120000
233,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,I don’t code outside of work,"Associate degree (A.A., A.S., etc.)",23,19,"Engineer, data","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,160000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, definitely",35-44 years old,Woman,No,Prefer not to say,White,None of the above,None of the above,Independent contributor,19,160000
234,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,4,"Developer, full-stack",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,175000,Yearly,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Woman,No,Straight / Heterosexual,Hispanic or Latino/a,None of the above,None of the above,Independent contributor,4,175000
240,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Some college/university study without earning a degree,48,46,"Developer, back-end;Project manager;Product manager;System administrator;Security professional",2 to 9 employees,I have a great deal of influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,65 years or older,Man,No,Straight / Heterosexual,North American,None of the above,None of the above,People manager,46,100000
248,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26,22,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,250000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,People manager,27,250000
274,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",38,23,"Engineer, site reliability;Developer, full-stack;Developer, back-end;Educator;Other (please specify):","1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,140000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White;European;North American;Multiracial;Indigenous (such as Native American or Indigenous Australian),None of the above,"Or, in your own words:",Independent contributor,25,140000
279,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,2,"Developer, front-end;Developer, full-stack",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,67000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White;Hispanic or Latino/a,None of the above,None of the above,Independent contributor,2,67000
281,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,18,"Developer, back-end","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,315000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not at all",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,18,315000
300,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,104000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,European;North American,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have a concentration and/or memory disorder (e.g., ADHD, etc.)",NA,10,104000
308,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer",500 to 999 employees,I have some influence,United States of America,USD	United States dollar,206000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,25,206000
313,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,3,"Developer, front-end",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,45000,Yearly,Stack Overflow,A few times per week,No,NA,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,15,45000
316,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,2,"Engineer, data;Developer, back-end",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,130000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,NA,Neutral,25-34 years old,Man,No,Gay or Lesbian,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,3,130000
317,I am a developer by profession,"Employed, full-time",Fully remote,Contribute to open-source projects,Some college/university study without earning a degree,18,10,"Developer, back-end;Engineering manager;Cloud infrastructure engineer","5,000 to 9,999 employees",I have some influence,United States of America,USD	United States dollar,230000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,NA,White,None of the above,NA,People manager,10,230000
318,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,12,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist","1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,155000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,18,155000
332,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,4,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,130000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Bisexual,White,None of the above,I have an anxiety disorder,Independent contributor,6,130000
338,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,1,"Developer, desktop or enterprise applications",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,80000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Neutral,18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,1,80000
348,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,Less than 1 year,"Developer, full-stack;Product manager",500 to 999 employees,I have little or no influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,"White;Or, in your own words:",None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Independent contributor,1,100000
349,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,"Developer, full-stack;Developer, mobile;Educator",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,75000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Independent contributor,6,75000
357,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,3,"Developer, mobile","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,120000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,8,120000
360,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other doctoral degree (Ph.D., Ed.D., etc.)",38,32,"Developer, embedded applications or devices","10,000 or more employees",I have a great deal of influence,United States of America,USD	United States dollar,175000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Independent contributor,31,175000
362,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,11,"Developer, full-stack",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,150000,Yearly,Stack Overflow;Stack Exchange,A few times per week,No,NA,"No, not really",25-34 years old,Man,No,Bisexual,White,None of the above,None of the above,Independent contributor,11,150000
364,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Some college/university study without earning a degree,14,14,"Developer, full-stack;DevOps specialist;Cloud infrastructure engineer;System administrator",500 to 999 employees,I have some influence,United States of America,USD	United States dollar,120000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,14,120000
365,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",26,20,"Developer, desktop or enterprise applications","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,210000,Yearly,Stack Overflow,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not at all",35-44 years old,Man,No,Straight / Heterosexual,Indian,None of the above,None of the above,Independent contributor,20,210000
368,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,4,"Data scientist or machine learning specialist;Engineer, data;Data or business analyst","5,000 to 9,999 employees",I have little or no influence,United States of America,USD	United States dollar,109000,Yearly,Collectives on Stack Overflow;Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,4,109000
369,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,4,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,70000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,No,NA,Neutral,18-24 years old,Man,No,Prefer not to say,Prefer not to say,None of the above,None of the above,Independent contributor,4,70000
382,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,15,"Developer, front-end;Engineer, data;Other (please specify):;Data or business analyst",500 to 999 employees,I have some influence,United States of America,USD	United States dollar,8000,Monthly,Stack Overflow,Less than once per month or monthly,No,NA,"No, not really",55-64 years old,Woman,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,20,96000
